id,has_file,valid
425069104,False,False
425069136,False,False
425069147,False,False
425079046,False,False
425079099,False,False
425200145,False,False
425400070,False,False
425400115,False,False
426069095,False,False
426069099,False,False
427000065,False,False
428000055,False,False
428000150,False,False
428000225,False,False
428100580,False,False
430000035,False,False
430000175,False,False
434000040,False,False
439000090,False,False
439000230,False,False
439200035,False,False
441000065,False,False
442000015,False,False
442000175,False,False
442000210,False,False
443000060,False,False
446000020,False,False
446000150,False,False
452001280,False,False
452001310,False,False
452001540,False,False
452001570,False,False
452001890,False,False
452002005,False,False
452002135,False,False
455000190,False,False
455000395,False,False
455000760,False,False
455000841,False,False
458000065,False,False
458000235,False,False
461000390,False,False
461001435,False,False
461001615,False,False
461002025,False,False
461002050,False,False
461002150,False,False
461002551,False,False
461002615,False,False
461002890,False,False
461003251,False,False
461003835,False,False
461004095,False,False
461004195,False,False
461004730,False,False
461005360,False,False
461005435,False,False
464000600,False,False
464001025,False,False
464001115,False,False
472000015,False,False
472000055,False,False
472000590,False,False
472000620,False,False
472000895,False,False
475000004,False,False
475000080,False,False
475000187,False,False
475000605,False,False
475000750,False,False
475000975,False,False
475001000,False,False
475001235,False,False
475001295,False,False
476000110,False,False
476000118,False,False
476000324,False,False
476000331,False,False
476000335,False,False
476000338,False,False
477000019,False,False
480000170,False,False
486000085,False,False
486000510,False,False
486000520,False,False
486000565,False,False
486000597,False,False
492000475,False,False
492000532,False,False
507100020,False,False
509000020,False,False
509000090,False,False
510000050,False,False
510001400,False,False
510002010,False,False
510002065,False,False
510002506,False,False
510002519,False,False
510002995,False,False
510003085,False,False
510003230,False,False
513000445,False,False
513000550,False,False
513000585,False,False
513000665,False,False
514500195,False,False
518000040,False,False
518500210,False,False
518500480,False,False
518500610,False,False
520069032,False,False
520700125,False,False
521049200,False,False
521079025,False,False
522039103,False,False
522039106,False,False
522059013,False,False
522059062,False,False
522059158,False,False
522059327,False,False
522059352,False,False
522069097,False,False
522069111,False,False
522079015,False,False
522079027,False,False
522079067,False,False
522079068,False,False
523049106,False,False
524059052,False,False
524059093,False,False
524059148,False,False
524059208,False,False
524059241,False,False
524059250,False,False
524059330,False,False
524069019,False,False
524069020,False,False
524069037,False,False
524069075,False,False
524069101,False,False
525049174,False,False
525069099,False,False
526059122,False,False
526059199,False,False
526059224,False,False
526059259,False,False
534000075,False,False
534000112,False,False
534000195,False,False
537000075,False,False
537000130,False,False
537000325,False,False
537000416,False,False
537000445,False,False
538000030,False,False
538000190,False,False
538000250,False,False
538000390,False,False
538000440,False,False
538000450,False,False
540100056,False,False
546000020,False,False
546000045,False,False
546000245,False,False
546000820,False,False
546000865,False,False
546000875,False,False
546000910,False,False
546001020,False,False
558100065,False,False
561000075,False,False
561000300,False,False
561500290,False,False
565300110,False,False
567000020,False,False
567000025,False,False
567000268,False,False
567000380,False,False
567000381,False,False
567000382,False,False
567000385,False,False
567000392,False,False
567000401,False,False
567000408,False,False
567000660,False,False
567000672,False,False
567000680,False,False
573000490,False,False
573000685,False,False
579000096,False,False
579000595,False,False
579002220,False,False
579002600,False,False
579002870,False,False
579003240,False,False
579003610,False,False
579003645,False,False
582000010,False,False
582000065,False,False
582000644,False,False
582000675,False,False
585000008,False,False
586000020,False,False
586470350,False,False
587550280,False,False
587550340,False,False
587550470,False,False
594000115,False,False
597000195,False,False
600000152,False,False
603000150,False,False
603000926,False,False
603001020,False,False
603001045,False,False
603001050,False,False
613400030,False,False
616000140,False,False
616000160,False,False
617000030,False,False
617000089,False,False
